time,open,high,low,close
1736262000,100045.55,100123.79,97236.12,97992.77
1736265600,97993.95,98378,97652.73,97773.13
1736269200,97772.63,97833.32,96641.34,97316.46
1736272800,97316.46,97575.22,96649.49,96793.41
1736276400,96793.41,97231.06,96388.74,96488.62
1736280000,96488.77,96893.53,96229.17,96590.33
1736283600,96590.33,97125.91,96443.81,96547.32
1736287200,96546.83,97251.24,96454.37,97193.62
1736290800,97195.1,97207.46,96847.32,96991.47
1736294400,96990.11,97250.52,96692.99,97249.05
1736298000,97249.05,97249.05,96605.23,96892.32
1736301600,96892.32,97159.88,96763.23,96860.36
1736305200,96860.43,96860.44,96218.06,96505.9
1736308800,96505.67,96608.73,96099.37,96255.24
1736312400,96254.69,96628.51,96093.1,96474.73
1736316000,96474.77,96614.35,95255.61,95264.99
1736319600,95264.77,95784.29,95238.31,95636.07
1736323200,95635.08,96111.46,95509.74,95936.32
1736326800,95936.89,96079.29,95397.76,95414.9
1736330400,95414.9,95979.47,95413.31,95939.9
1736334000,95939.96,96031.28,94539.28,95114.69
1736337600,95114.69,95351.73,94842.85,94871.9
1736341200,94871.22,95651.06,94866.72,95368.52
1736344800,95368.84,95811,94906.48,95289.45
1736348400,95288.49,96038.66,94615.88,95463.41
1736352000,95463.41,95473.38,94551.04,94768.14
1736355600,94769.19,94828.04,92540.59,94015.88
1736359200,94015.73,95075.44,93749.16,94223.02
1736362800,94222.53,94836.55,94046.16,94220.71
1736366400,94221.19,94385.57,93753.7,93949.34
1736370000,93949.94,94562.43,93629.91,94450.69
1736373600,94451.22,95268.82,94443.43,95268.82
1736377200,95269.2,95275.92,94889.59,95055.77
1736380800,95055.16,95119.62,94785.15,95106.77
1736384400,95106.3,95348.77,94946.28,94959.24
1736388000,94959.24,95006.36,93461.14,94752.76
1736391600,94756.29,94768.42,93993.11,93999.52
1736395200,93999.74,94456.87,93774.11,94400.9
1736398800,94400.42,94538.1,94253.05,94443.76
1736402400,94443.76,94586.47,94026.42,94069.79
1736406000,94069.79,94273.07,93183.45,93196.63
1736409600,93196.63,93372.35,92760.87,92999.24
1736413200,92999.24,93712.09,92954.08,93490.49
1736416800,93491.22,93633.6,93017.5,93437.79
1736420400,93437.95,93832.79,93214.4,93441.43
1736424000,93441.19,93668,93146.99,93398.99
1736427600,93399.03,93459.49,91923.46,91969.09
1736431200,91968.16,92867.14,91793.8,92851.27
1736434800,92849.76,94546.02,92670.14,94219.76
1736438400,94219.31,94648.75,93829.44,94226.15
1736442000,94226.15,94268.46,92311.79,92667.4
1736445600,92667.4,93206.3,92398.68,93006.95
1736449200,93005.77,93265.24,91899.36,91899.36
1736452800,91899.52,92345.5,91207.21,91855.37
1736456400,91857.04,92465.92,91771.42,92091.77
1736460000,92091.77,92686,91624.44,92439.84
1736463600,92439.07,92653.52,92031.52,92522.62
1736467200,92522.21,92838.95,92465.02,92766.99
1736470800,92767.56,93141.94,92593.29,93094.74
1736474400,93094.39,93674.98,93033.02,93367.28
1736478000,93367.29,93714.12,93330.36,93694.55
1736481600,93695.05,93897.76,93500.15,93831.46
1736485200,93831.46,94240.8,93647.63,93956.51
1736488800,93956.55,94312.45,93738.88,94248.67
1736492400,94248.86,94989.38,94072.37,94501.1
1736496000,94501.89,94752.39,94392.16,94672.85
1736499600,94673.6,94971.17,94579.53,94787.99
1736503200,94786.97,95265.12,94758.81,95215.18
1736506800,95213.85,95240.81,94621.92,95068.04
1736510400,95068.18,95110.85,94704.12,95014.65
1736514000,95013.73,95026.86,92748.02,93550.53
1736517600,93551.62,94647.35,93422.97,94113.81
1736521200,94113.66,94512.7,92245.47,93722.36
1736524800,93723.55,94019.4,93191.18,93642.34
1736528400,93642.34,95799.73,93325.72,95783.18
1736532000,95783.18,95784.59,94604.87,94857.81
1736535600,94858.61,95375.75,94441.53,95318.04
1736539200,95318.05,95437.52,94598.38,94656.08
1736542800,94658.01,94915.37,94608.15,94610.94
1736546400,94610.94,94946.46,94582.39,94763.17
1736550000,94763.5,94889.3,94655.19,94720.51
1736553600,94720.51,94726.45,94343.7,94579.15
1736557200,94579.15,94674.51,94216.7,94408.16
1736560800,94408.16,94476.1,94172.85,94407.97
1736564400,94408.01,94408.01,94092.95,94180.51
1736568000,94179.12,94292.73,93829.19,94043.37
1736571600,94043.37,94360.32,93995.33,94345.19
1736575200,94345.24,94420.58,94194.49,94196.22
1736578800,94196.41,94311.42,94129.89,94225.47
1736582400,94224.39,94382.2,94015.53,94054.12
1736586000,94054.31,94310.1,94025.25,94309.85
1736589600,94310.1,94504.22,94282.22,94468.15
1736593200,94468.15,94754.71,94433.45,94602.84
1736596800,94602.83,94628.84,94507.52,94530
1736600400,94529.99,94584.42,94322.39,94376.19
