time,open,high,low,close
2025-01-22T07:00:00-06:00,105302,105362.71,103835.91,104078.94
2025-01-22T08:00:00-06:00,104078.87,104925.48,103690.45,104385.07
2025-01-22T09:00:00-06:00,104385.41,105152.42,104000.64,104200.28
2025-01-22T10:00:00-06:00,104200.95,104232.52,103360.31,103719.78
2025-01-22T11:00:00-06:00,103719.66,104612.54,103695.84,104364.05
2025-01-22T12:00:00-06:00,104363.02,104688.31,103795.85,103906.49
2025-01-22T13:00:00-06:00,103906.44,104747.01,103877.28,104637.78
2025-01-22T14:00:00-06:00,104637.8,104833.5,104100.89,104317.43
2025-01-22T15:00:00-06:00,104319.03,104374.86,103666.15,104105.03
2025-01-22T16:00:00-06:00,104105.07,104509.49,103782.63,103866.03
2025-01-22T17:00:00-06:00,103864.16,104145.68,103663.8,103709.52
2025-01-22T18:00:00-06:00,103709.43,103768.77,103020.31,103263.07
2025-01-22T19:00:00-06:00,103263.07,103598.39,102567.05,102885.01
2025-01-22T20:00:00-06:00,102883.87,102934.97,102077.23,102606.09
2025-01-22T21:00:00-06:00,102605.26,102945.93,102154.77,102407.18
2025-01-22T22:00:00-06:00,102407.14,102438.75,101555.35,102016.22
2025-01-22T23:00:00-06:00,102015.7,102581.47,101946.74,102480.82
2025-01-23T00:00:00-06:00,102480.81,102915.09,102186.59,102210.49
2025-01-23T01:00:00-06:00,102210.49,102737.61,102037.37,102656.72
2025-01-23T02:00:00-06:00,102656.72,102663.19,102027.26,102167.94
2025-01-23T03:00:00-06:00,102167.94,102416.54,101603.58,101626.94
2025-01-23T04:00:00-06:00,101627.61,102016.61,101227.38,101636.04
2025-01-23T05:00:00-06:00,101636.4,102142.87,101634.82,101893.34
2025-01-23T06:00:00-06:00,101892.52,102076.32,101368.79,101588.02
2025-01-23T07:00:00-06:00,101587.98,102649.32,101281.73,102462.37
2025-01-23T08:00:00-06:00,102462.37,105980.25,101951.38,105118.21
2025-01-23T09:00:00-06:00,105118.21,105727.66,102683.02,105161.72
2025-01-23T10:00:00-06:00,105164.67,106788.16,105020.55,105106.12
2025-01-23T11:00:00-06:00,105110.5,106175.52,104189.4,105864.67
2025-01-23T12:00:00-06:00,105864.67,106082.86,105077.01,105374.12
2025-01-23T13:00:00-06:00,105373.89,105456.37,103376.38,103747.65
2025-01-23T14:00:00-06:00,103748.57,106355.58,102603.69,103232.77
2025-01-23T15:00:00-06:00,103233.53,103355.85,102244.78,103043.03
2025-01-23T16:00:00-06:00,103044.28,104644.48,102944.74,103916.24
2025-01-23T17:00:00-06:00,103916.24,104480.07,103740.12,103859.17
2025-01-23T18:00:00-06:00,103859.16,104171.68,103446.43,103462.99
2025-01-23T19:00:00-06:00,103463.68,103901.79,103087.76,103246.81
2025-01-23T20:00:00-06:00,103246.64,103547.11,102985.18,103036.26
2025-01-23T21:00:00-06:00,103036.26,104294.83,102773.03,103907.77
2025-01-23T22:00:00-06:00,103907.55,104885.51,103820.88,104647.7
2025-01-23T23:00:00-06:00,104646.83,105277.24,104574.51,105229.21
2025-01-24T00:00:00-06:00,105229.21,105354.73,104656.81,105007.34
2025-01-24T01:00:00-06:00,105008.41,105195.57,104681.1,105060.23
2025-01-24T02:00:00-06:00,105060.26,105615.33,104937.92,105522.93
2025-01-24T03:00:00-06:00,105522.53,105769.79,105077.59,105170.76
2025-01-24T04:00:00-06:00,105170.76,105445.27,105068.98,105431.96
2025-01-24T05:00:00-06:00,105431.96,105534.8,105237.91,105432.59
2025-01-24T06:00:00-06:00,105432.59,105603.05,105205.89,105542.2
2025-01-24T07:00:00-06:00,105542.2,105785.62,105004.43,105134.66
2025-01-24T08:00:00-06:00,105134.67,106313.18,104716.02,105773.78
2025-01-24T09:00:00-06:00,105773.78,106003.5,105286.96,105874.72
2025-01-24T10:00:00-06:00,105874.61,106171.84,105606.28,105664.84
2025-01-24T11:00:00-06:00,105665.07,106714.59,105637.14,106478.19
2025-01-24T12:00:00-06:00,106478.19,107124.49,106123.45,106345.8
2025-01-24T13:00:00-06:00,106345.36,106617.02,105715.67,105779.24
2025-01-24T14:00:00-06:00,105779.91,105790.6,104765.05,104802.8
2025-01-24T15:00:00-06:00,104800.82,105397.3,104799.88,105132.33
2025-01-24T16:00:00-06:00,105132.33,105473.5,104735.42,104775.01
2025-01-24T17:00:00-06:00,104776.43,104933.16,104476.47,104881.09
2025-01-24T18:00:00-06:00,104880.79,104880.79,104361.9,104426.06
2025-01-24T19:00:00-06:00,104425.68,104803.12,104374.16,104728.85
2025-01-24T20:00:00-06:00,104729.02,104819.52,104465.38,104547.43
2025-01-24T21:00:00-06:00,104547.42,105262.01,104451.16,105182.09
2025-01-24T22:00:00-06:00,105182.09,105189.69,104611.49,104639.72
2025-01-24T23:00:00-06:00,104639.72,104682.54,104271.1,104356.84
2025-01-25T00:00:00-06:00,104356.89,104465.88,104212.13,104303.61
2025-01-25T01:00:00-06:00,104303.61,104510.04,104277.94,104376.4
2025-01-25T02:00:00-06:00,104375.6,104484.15,104145.02,104333.11
2025-01-25T03:00:00-06:00,104333.11,104439.14,104266.75,104357.56
2025-01-25T04:00:00-06:00,104357.18,104643.54,104103.98,104529.6
2025-01-25T05:00:00-06:00,104528.89,104683.38,104380.07,104660.12
2025-01-25T06:00:00-06:00,104660.12,104781.17,104446.51,104737.87
2025-01-25T07:00:00-06:00,104737.28,104849.82,104620.65,104704.56
2025-01-25T08:00:00-06:00,104704.56,104713.18,104462.25,104592.31
2025-01-25T09:00:00-06:00,104592.34,105092.56,104588.48,104887.75
2025-01-25T10:00:00-06:00,104887.75,104977.09,104581.87,104645.58
2025-01-25T11:00:00-06:00,104644.56,104913.63,104456.21,104890.29
2025-01-25T12:00:00-06:00,104890.29,105275.71,104833.74,104971.64
2025-01-25T13:00:00-06:00,104971.73,105175.29,104912.14,105044.53
2025-01-25T14:00:00-06:00,105044.53,105187.07,104953.08,104958.19
2025-01-25T15:00:00-06:00,104958.19,105108.68,104859.95,105088.92
2025-01-25T16:00:00-06:00,105088.92,105242.61,104993.27,105072.09
2025-01-25T17:00:00-06:00,105071.66,105121.03,104688.34,104736.02
2025-01-25T18:00:00-06:00,104736.02,104824.58,104511.79,104582.46
2025-01-25T19:00:00-06:00,104582.5,104757.41,104501.01,104603.45
2025-01-25T20:00:00-06:00,104603.45,104699.22,104506.58,104672.96
2025-01-25T21:00:00-06:00,104672.99,105212.68,104671.51,105043.14
2025-01-25T22:00:00-06:00,105042.81,105461.24,104964.34,105143.57
2025-01-25T23:00:00-06:00,105145.23,105181.81,104992.59,105076.49
2025-01-26T00:00:00-06:00,105076.48,105098.17,104943.01,104972.59
2025-01-26T01:00:00-06:00,104972.59,105078.01,104930.81,104980.39
2025-01-26T02:00:00-06:00,104979.98,105196.66,104850.3,105014.02
2025-01-26T03:00:00-06:00,105014.02,105014.02,104428.61,104613.64
2025-01-26T04:00:00-06:00,104613.13,104703.74,104483.15,104701
2025-01-26T05:00:00-06:00,104701.56,104833.89,104646.25,104805.79
2025-01-26T06:00:00-06:00,104806.72,104875.5,104688.68,104875.03
2025-01-26T07:00:00-06:00,104874.98,105034.4,104828.71,104944.47
2025-01-26T08:00:00-06:00,104944.47,104988.69,104786.09,104928.15
2025-01-26T09:00:00-06:00,104928.23,105065.08,104870.33,104951.31
2025-01-26T10:00:00-06:00,104951.31,105020.06,104880.09,104921.1
2025-01-26T11:00:00-06:00,104921.1,105032.66,104900.9,104927.22
2025-01-26T12:00:00-06:00,104927.23,105240.89,104891.88,105157.95
2025-01-26T13:00:00-06:00,105157.95,105224.01,105021.92,105065
2025-01-26T14:00:00-06:00,105065,105183.7,104905.37,104934.99
2025-01-26T15:00:00-06:00,104934.56,104971.55,104542.17,104542.48
2025-01-26T16:00:00-06:00,104542.62,104696.8,104291.94,104315.85
2025-01-26T17:00:00-06:00,104315.22,104315.51,102503.76,102603.67
2025-01-26T18:00:00-06:00,102604.77,103216.34,101572.37,101686.94
2025-01-26T19:00:00-06:00,101687.74,102031.61,101142.07,101269.53
2025-01-26T20:00:00-06:00,101268.79,101642.78,100826.43,100954.96
2025-01-26T21:00:00-06:00,100955.16,101812.57,100696.29,101354.26
2025-01-26T22:00:00-06:00,101354.26,101358.28,100230.3,100371.67
2025-01-26T23:00:00-06:00,100371.67,100690.83,99718.39,100333.98
