date,open,high,low,close
2024-05-07 20:00:00+00:00,63063.42,63194.78,62900.16,62973.84
2024-05-07 21:00:00+00:00,62973.84,63159.48,62836.01,63072.72
2024-05-07 22:00:00+00:00,63072.94,63112.74,62759.9,62851.13
2024-05-07 23:00:00+00:00,62850.86,62875.58,62268.25,62315.67
2024-05-08 00:00:00+00:00,62315.67,62701.75,62123.29,62588.97
2024-05-08 01:00:00+00:00,62588.31,62712.58,62436.66,62531.32
2024-05-08 02:00:00+00:00,62531.32,62849.48,62530.37,62764.62
2024-05-08 03:00:00+00:00,62764.27,62965.41,62590.96,62894.36
2024-05-08 04:00:00+00:00,62894.41,63010.56,62369.68,62523.88
2024-05-08 05:00:00+00:00,62524.67,62747.3,62368.8,62615.78
2024-05-08 06:00:00+00:00,62615.58,62709.5,62141.32,62503.87
2024-05-08 07:00:00+00:00,62503.87,62601.0,62093.29,62205.27
2024-05-08 08:00:00+00:00,62205.5,62417.82,62055.07,62373.61
2024-05-08 09:00:00+00:00,62373.98,62419.27,62087.41,62303.0
2024-05-08 10:00:00+00:00,62303.0,62517.73,62264.46,62450.72
2024-05-08 11:00:00+00:00,62452.8,62506.12,62141.38,62238.46
2024-05-08 12:00:00+00:00,62238.77,62448.61,62095.99,62238.71
2024-05-08 13:00:00+00:00,62238.71,62456.51,61791.07,62438.09
2024-05-08 14:00:00+00:00,62438.12,62816.08,62162.1,62562.96
2024-05-08 15:00:00+00:00,62563.62,62606.86,61906.27,62274.43
2024-05-08 16:00:00+00:00,62274.38,62442.69,62002.69,62442.36
2024-05-08 17:00:00+00:00,62443.22,62670.96,62369.09,62593.55
2024-05-08 18:00:00+00:00,62593.67,62758.39,62452.24,62513.57
2024-05-08 19:00:00+00:00,62513.57,62537.59,61961.83,62173.05
2024-05-08 20:00:00+00:00,62173.05,62243.58,61453.48,61574.74
2024-05-08 21:00:00+00:00,61574.73,61753.44,61395.56,61490.76
2024-05-08 22:00:00+00:00,61490.76,61569.87,61110.21,61253.57
2024-05-08 23:00:00+00:00,61253.57,61271.29,60887.89,61198.71
2024-05-09 00:00:00+00:00,61197.92,61441.86,61120.69,61378.1
2024-05-09 01:00:00+00:00,61378.15,61540.19,61359.96,61525.09
2024-05-09 02:00:00+00:00,61524.77,61665.32,61466.08,61641.56
2024-05-09 03:00:00+00:00,61641.92,61776.86,61403.62,61654.29
2024-05-09 04:00:00+00:00,61654.1,61731.11,61413.7,61483.63
2024-05-09 05:00:00+00:00,61483.62,61685.64,61429.73,61553.31
2024-05-09 06:00:00+00:00,61553.34,61753.57,61506.34,61590.03
2024-05-09 07:00:00+00:00,61590.03,61620.08,61116.71,61229.47
2024-05-09 08:00:00+00:00,61229.81,61420.06,61136.42,61286.24
2024-05-09 09:00:00+00:00,61285.67,61335.08,60903.21,61260.63
2024-05-09 10:00:00+00:00,61260.51,61288.25,60777.91,60779.05
2024-05-09 11:00:00+00:00,60780.16,61151.39,60621.04,61031.57
2024-05-09 12:00:00+00:00,61031.57,61587.3,61011.91,61488.39
2024-05-09 13:00:00+00:00,61489.95,61510.72,60869.76,61158.32
2024-05-09 14:00:00+00:00,61158.32,61528.53,61105.25,61515.08
2024-05-09 15:00:00+00:00,61515.93,62253.05,61439.86,62132.1
2024-05-09 16:00:00+00:00,62132.39,62639.59,61809.77,61837.98
2024-05-09 17:00:00+00:00,61837.98,62181.68,61731.18,61921.56
2024-05-09 18:00:00+00:00,61922.09,62231.26,61866.83,62231.08
2024-05-09 19:00:00+00:00,62230.82,62509.85,62155.44,62432.48
